Datetime,Frequency per Minute,Activity Level
2023-02-19 18:07:56,1346,High Activity
2023-02-19 18:08:56,1363,High Activity
2023-02-19 18:09:56,1345,High Activity
2023-02-19 18:10:56,1350,High Activity
2023-02-19 18:11:56,1326,High Activity
2023-02-19 18:12:56,1212,High Activity
2023-02-19 18:13:56,1343,High Activity
2023-02-19 18:14:56,1364,High Activity
2023-02-19 18:15:56,1348,High Activity
2023-02-19 18:16:56,1360,High Activity
2023-02-19 18:17:56,1362,High Activity
2023-02-19 18:18:56,1293,High Activity
2023-02-19 18:19:56,1344,High Activity
2023-02-19 18:20:56,1343,High Activity
2023-02-19 18:21:56,1367,High Activity
2023-02-19 18:22:56,1364,High Activity
2023-02-19 18:23:56,1366,High Activity
2023-02-19 18:24:56,1358,High Activity
2023-02-19 18:25:56,1353,High Activity
2023-02-19 18:26:56,1363,High Activity
2023-02-19 18:27:56,1364,High Activity
2023-02-19 18:28:56,1361,High Activity
2023-02-19 18:29:56,1358,High Activity
2023-02-19 18:30:56,1355,High Activity
2023-02-19 18:31:56,1346,High Activity
2023-02-19 18:32:56,1352,High Activity
2023-02-19 18:33:56,1360,High Activity
2023-02-19 18:34:56,1362,High Activity
2023-02-19 18:35:56,1360,High Activity
2023-02-19 18:36:56,1355,High Activity
2023-02-19 18:37:56,1353,High Activity
2023-02-19 18:38:56,1358,High Activity
2023-02-19 18:39:56,1349,High Activity
2023-02-19 18:40:56,1355,High Activity
2023-02-19 18:41:56,1338,High Activity
2023-02-19 18:42:56,1360,High Activity
2023-02-19 18:43:56,1351,High Activity
2023-02-19 18:44:56,1360,High Activity
2023-02-19 18:45:56,1362,High Activity
2023-02-19 18:46:56,1359,High Activity
2023-02-19 18:47:56,1358,High Activity
2023-02-19 18:48:56,1147,High Activity
2023-02-19 18:49:56,1357,High Activity
2023-02-19 18:50:56,1327,High Activity
2023-02-19 18:51:56,1356,High Activity
2023-02-19 18:52:56,1360,High Activity
2023-02-19 18:53:56,1356,High Activity
2023-02-19 18:54:56,1355,High Activity
2023-02-19 18:55:56,1358,High Activity
2023-02-19 18:56:56,1357,High Activity
2023-02-19 18:57:56,1360,High Activity
2023-02-19 18:58:56,1350,High Activity
2023-02-19 18:59:56,1347,High Activity
2023-02-19 19:00:56,1353,High Activity
2023-02-19 19:01:56,1355,High Activity
2023-02-19 19:02:56,1354,High Activity
2023-02-19 19:03:56,1340,High Activity
2023-02-19 19:04:56,231,Low Activity
2023-02-19 19:05:56,380,Low Activity
2023-02-19 19:06:56,147,Low Activity
2023-02-19 19:07:56,250,Low Activity
2023-02-19 19:08:56,205,Low Activity
2023-02-19 19:09:56,428,Low Activity
2023-02-19 19:10:56,264,Low Activity
2023-02-19 19:11:56,347,Low Activity
2023-02-19 19:12:56,524,Moderate Activity
2023-02-19 19:13:56,1089,High Activity
2023-02-19 19:14:56,1350,High Activity
2023-02-19 19:15:56,1337,High Activity
2023-02-19 19:16:56,1357,High Activity
2023-02-19 19:17:56,1353,High Activity
2023-02-19 19:18:56,1350,High Activity
2023-02-19 19:19:56,1349,High Activity
2023-02-19 19:20:56,1350,High Activity
2023-02-19 19:21:56,1328,High Activity
2023-02-19 19:22:56,1353,High Activity
2023-02-19 19:23:56,1349,High Activity
2023-02-19 19:24:56,1355,High Activity
2023-02-19 19:25:56,1349,High Activity
2023-02-19 19:26:56,1354,High Activity
2023-02-19 19:27:56,1350,High Activity
2023-02-19 19:28:56,1354,High Activity
2023-02-19 19:29:56,1352,High Activity
2023-02-19 19:30:56,1347,High Activity
